day,entity,product,payment_method,anticipation_method,installments,monthly_tier,amount_transacted,fee_revenue,effective_fee_rate
2025-01-01,PJ,tap,credit,D1Anticipation,1,>80000,107367.32,3199.5461360000004,0.0298
2025-01-01,PJ,pos,credit,D0/Nitro,1,40001-80000,67894.97,4066.908703,0.0599
2025-01-01,PF,link,credit,D0/Nitro,1,>80000,362730.21,15234.668820000004,0.04200000000000001
2025-01-01,PF,pix,Pix,Pix,1,>80000,201488.65,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,5.15,0.143685,0.0279
2025-01-01,PJ,pix,Pix,Pix,1,>80000,284027.1,0.0,0.0
2025-01-01,PJ,pos,debit,D0/Nitro,1,>80000,128779.98,3592.9614420000003,0.0279
2025-01-01,PJ,pos,debit,D0/Nitro,1,40001-80000,60014.49,1674.404271,0.0279
2025-01-01,PF,link,credit,D1Anticipation,1,<=20000,691.55,37.966095,0.054900000000000004
2025-01-01,PJ,pix,Pix,Pix,1,>80000,1018577.84,0.0,0.0
2025-01-01,PJ,tap,debit,D0/Nitro,1,<=20000,752.5,20.99475,0.0279
2025-01-01,PJ,bank_slip,BankSlip,BankSlip,1,<=20000,247.69,0.0,0.0
2025-01-01,PJ,tap,debit,D1Anticipation,1,>80000,135769.24,1276.230856,0.0094
2025-01-01,PJ,pos,credit,D0/Nitro,1,>80000,638858.45,38267.621155,0.05990000000000001
2025-01-01,PJ,pos,credit,D0/Nitro,1,20001-40000,22498.53,1347.661947,0.05990000000000001
2025-01-01,PJ,pos,credit,D1Anticipation,2,<=20000,19713.75,1098.055875,0.0557
2025-01-01,PJ,pos,credit,D0/Nitro,2,20001-40000,34811.73,3965.056047000001,0.11390000000000002
2025-01-01,PF,link,credit,D1Anticipation,2,<=20000,4791.83,521.830287,0.1089
2025-01-01,PJ,link,credit,D1Anticipation,2,>80000,121264.13,13205.663757,0.1089
2025-01-01,PJ,pos,credit,D1Anticipation,2,>80000,301733.03,12823.653775000002,0.0425
2025-01-01,PF,tap,credit,D1Anticipation,2,>80000,444666.44,18898.3237,0.0425
2025-01-01,PJ,pos,credit,D0/Nitro,2,<=20000,3729.97,424.843583,0.11390000000000002
2025-01-01,PJ,link,credit,D0/Nitro,2,<=20000,499.0,30.389100000000003,0.0609
2025-01-01,PJ,pos,credit,D1Anticipation,2,>80000,94373.49,4010.873325000001,0.04250000000000001
2025-01-01,PJ,tap,credit,D1Anticipation,2,<=20000,6673.96,371.739572,0.0557
2025-01-01,PJ,tap,credit,D0/Nitro,2,40001-80000,45749.01,5210.812239,0.11389999999999999
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,3480.02,378.974178,0.1089
2025-01-01,PJ,tap,credit,D1Anticipation,2,20001-40000,26025.4,1178.95062,0.0453
2025-01-01,PF,link,credit,D0/Nitro,2,>80000,140975.18,8585.388462,0.06090000000000001
2025-01-01,PF,tap,credit,D0/Nitro,2,>80000,478184.02,54465.159878000006,0.1139
2025-01-01,PJ,tap,credit,D1Anticipation,2,>80000,147547.54,6270.770450000001,0.0425
2025-01-01,PF,pos,credit,D1Anticipation,2,<=20000,3481.22,193.903954,0.0557
2025-01-01,PF,link,credit,D1Anticipation,2,>80000,110929.88,12080.263932,0.1089
2025-01-01,PJ,link,credit,D0/Nitro,2,<=20000,1605.27,97.760943,0.060899999999999996
2025-01-01,PJ,pos,credit,D1Anticipation,2,20001-40000,39636.47,1795.532091,0.0453
2025-01-01,PJ,tap,credit,D1Anticipation,2,20001-40000,23549.01,1066.770153,0.0453
2025-01-01,PJ,tap,credit,D0/Nitro,2,<=20000,450.0,51.255,0.1139
2025-01-01,PJ,pos,credit,D0/Nitro,2,<=20000,280.4,31.93756,0.11390000000000002
2025-01-01,PJ,link,credit,D0/Nitro,2,40001-80000,52660.67,3207.034803,0.0609
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,5028.09,547.559001,0.1089
2025-01-01,PJ,link,credit,D1Anticipation,2,<=20000,9808.82,1068.180498,0.1089
2025-01-01,PF,tap,credit,D1Anticipation,2,<=20000,3443.78,191.818546,0.0557
2025-01-01,PF,pos,credit,D0/Nitro,2,<=20000,840.0,95.676,0.1139
2025-01-01,PJ,pos,credit,D1Anticipation,3,>80000,91244.12,4352.344524,0.047700000000000006
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,19730.75,2365.716925,0.1199
2025-01-01,PF,link,credit,D1Anticipation,3,>80000,137203.98,16450.757202,0.11989999999999999
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,19375.37,2323.106863,0.1199
2025-01-01,PF,pos,credit,D0/Nitro,3,<=20000,500.0,62.45,0.12490000000000001
2025-01-01,PJ,link,credit,D1Anticipation,3,>80000,154237.97,18493.132603,0.11989999999999999
2025-01-01,PF,link,credit,D0/Nitro,3,>80000,111295.72,7801.829971999999,0.07009999999999998
2025-01-01,PJ,tap,credit,D0/Nitro,3,20001-40000,38288.29,4782.207421,0.1249
2025-01-01,PJ,link,credit,D0/Nitro,3,<=20000,694.0,48.6494,0.0701
2025-01-01,PJ,tap,credit,D1Anticipation,3,<=20000,8960.0,564.48,0.063
2025-01-01,PJ,tap,credit,D1Anticipation,3,>80000,192747.14,9194.038578,0.04769999999999999
2025-01-01,PF,tap,credit,D0/Nitro,3,>80000,372933.55,46579.400395,0.1249
2025-01-01,PJ,pos,credit,D0/Nitro,3,<=20000,17207.1,2149.16679,0.12490000000000002
2025-01-01,PJ,pos,credit,D1Anticipation,3,20001-40000,25223.94,1296.510516,0.05140000000000001
2025-01-01,PJ,tap,credit,D1Anticipation,3,20001-40000,31628.02,1625.6802280000002,0.0514
2025-01-01,PJ,link,credit,D1Anticipation,3,<=20000,6990.0,838.101,0.1199
2025-01-01,PJ,pos,credit,D1Anticipation,3,>80000,236370.93,11274.893361,0.047700000000000006
2025-01-01,PJ,pos,credit,D0/Nitro,3,<=20000,2561.82,319.971318,0.1249
2025-01-01,PF,pos,credit,D1Anticipation,3,<=20000,2182.0,137.466,0.063
2025-01-01,PF,tap,credit,D1Anticipation,3,>80000,473751.98,22597.969446,0.0477
2025-01-01,PJ,pos,credit,D1Anticipation,3,20001-40000,36606.54,1881.576156,0.0514
2025-01-01,PJ,tap,credit,D1Anticipation,3,<=20000,7646.1,481.7043000000001,0.06300000000000001
2025-01-01,PJ,link,credit,D0/Nitro,3,20001-40000,27140.18,1902.526618,0.07010000000000001
2025-01-01,PF,tap,credit,D1Anticipation,3,<=20000,4905.06,309.01878000000005,0.063
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,707.0,55.9237,0.07909999999999999
2025-01-01,PF,link,credit,D0/Nitro,4,>80000,87306.95,6905.979745,0.0791
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,28488.43,1635.235882,0.0574
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,31541.27,1810.468898,0.0574
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,4506.92,356.49737200000004,0.0791
2025-01-01,PJ,pos,credit,D1Anticipation,4,20001-40000,25515.28,1464.5770719999998,0.05739999999999999
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,950.0,124.355,0.13090000000000002
2025-01-01,PJ,link,credit,D1Anticipation,4,>80000,138418.05,17426.832495,0.1259
2025-01-01,PF,pos,credit,D0/Nitro,4,<=20000,480.0,62.832,0.1309
2025-01-01,PF,tap,credit,D1Anticipation,4,<=20000,10549.64,741.639692,0.0703
2025-01-01,PF,link,credit,D1Anticipation,4,<=20000,5000.0,629.5000000000001,0.1259
2025-01-01,PF,tap,credit,D0/Nitro,4,>80000,364143.11,47666.333099,0.13090000000000002
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,8841.96,1113.202764,0.1259
2025-01-01,PJ,tap,credit,D1Anticipation,4,20001-40000,24370.0,1398.838,0.0574
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,15301.21,1926.422339,0.1259
2025-01-01,PJ,tap,credit,D1Anticipation,4,>80000,161588.06,8531.849568,0.0528
2025-01-01,PJ,link,credit,D1Anticipation,4,<=20000,1700.0,214.03000000000003,0.1259
2025-01-01,PJ,pos,credit,D1Anticipation,4,>80000,266436.78,14067.861984,0.05279999999999999
2025-01-01,PJ,pos,credit,D1Anticipation,4,40001-80000,57274.65,3155.833215,0.0551
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,2124.42,278.086578,0.1309
2025-01-01,PJ,pos,credit,D0/Nitro,4,<=20000,19014.18,2488.956162,0.1309
2025-01-01,PJ,link,credit,D0/Nitro,4,20001-40000,24408.29,1930.695739,0.0791
2025-01-01,PF,link,credit,D1Anticipation,4,>80000,105998.33,13345.189747000002,0.1259
2025-01-01,PJ,link,credit,D0/Nitro,4,<=20000,600.0,47.46,0.0791
2025-01-01,PJ,tap,credit,D0/Nitro,4,20001-40000,33163.47,4341.098223,0.1309
2025-01-01,PJ,pos,credit,D1Anticipation,4,<=20000,7505.98,527.670394,0.0703
2025-01-01,PF,pos,credit,D1Anticipation,4,<=20000,2991.7,210.31651,0.0703
2025-01-01,PF,tap,credit,D0/Nitro,4,<=20000,10672.03,1396.968727,0.1309
2025-01-01,PF,tap,credit,D1Anticipation,4,>80000,558878.76,29508.798528,0.0528
2025-01-01,PF,link,credit,D0/Nitro,5,40001-80000,64515.57,5677.37016,0.08800000000000001
2025-01-01,PJ,tap,credit,D1Anticipation,5,20001-40000,26538.88,1685.21888,0.06349999999999999
2025-01-01,PJ,link,credit,D1Anticipation,5,<=20000,3795.0,504.3555,0.1329
2025-01-01,PJ,tap,credit,D1Anticipation,5,<=20000,14950.93,1157.201982,0.0774
2025-01-01,PF,tap,credit,D0/Nitro,5,>80000,264308.33,36448.118707,0.1379
2025-01-01,PF,link,credit,D1Anticipation,5,>80000,82747.36,10997.124144,0.1329
2025-01-01,PJ,pos,credit,D1Anticipation,5,<=20000,9238.99,715.0978259999999,0.0774
2025-01-01,PJ,pos,credit,D0/Nitro,5,<=20000,16961.51,2338.9922289999995,0.1379
2025-01-01,PJ,link,credit,D1Anticipation,5,<=20000,7853.92,1043.785968,0.1329
2025-01-01,PJ,pos,credit,D1Anticipation,5,>80000,257480.12,14908.098948,0.05790000000000001
2025-01-01,PJ,link,credit,D0/Nitro,5,20001-40000,25291.52,2225.65376,0.08800000000000001
2025-01-01,PF,link,credit,D1Anticipation,5,<=20000,1425.44,189.440976,0.1329
2025-01-01,PJ,pos,credit,D1Anticipation,5,<=20000,17195.34,1330.919316,0.0774
2025-01-01,PJ,link,credit,D1Anticipation,5,<=20000,6752.61,897.4218689999999,0.1329
2025-01-01,PJ,link,credit,D1Anticipation,5,>80000,122176.79,16237.295390999998,0.1329
2025-01-01,PJ,pos,credit,D1Anticipation,5,<=20000,5731.87,443.646738,0.07740000000000001
2025-01-01,PF,tap,credit,D1Anticipation,5,>80000,537047.48,31095.049092,0.05790000000000001
2025-01-01,PJ,tap,credit,D1Anticipation,5,<=20000,1591.85,123.20919,0.07740000000000001
2025-01-01,PJ,tap,credit,D0/Nitro,5,20001-40000,29038.45,4004.402255,0.1379
2025-01-01,PJ,tap,credit,D1Anticipation,5,>80000,91186.01,5279.669978999999,0.05789999999999999
2025-01-01,PJ,link,credit,D1Anticipation,6,<=20000,2961.0,414.2439,0.1399
2025-01-01,PJ,pos,credit,D1Anticipation,6,<=20000,19258.41,1627.335645,0.0845
2025-01-01,PJ,link,credit,D0/Nitro,6,<=20000,11821.46,1143.1351819999998,0.09669999999999998
2025-01-01,PF,link,credit,D1Anticipation,6,<=20000,1499.0,209.7101,0.1399
2025-01-01,PJ,pos,credit,D0/Nitro,6,<=20000,5834.16,845.369784,0.1449
2025-01-01,PJ,link,credit,D1Anticipation,6,<=20000,8197.27,1146.798073,0.1399
2025-01-01,PJ,tap,credit,D1Anticipation,6,<=20000,3726.0,314.84700000000004,0.0845
2025-01-01,PJ,link,credit,D0/Nitro,6,<=20000,3508.0,339.2236,0.0967
2025-01-01,PJ,tap,credit,D1Anticipation,6,>80000,148299.01,9328.007729,0.0629
2025-01-01,PF,tap,credit,D0/Nitro,6,>80000,197560.05,28626.451245,0.1449
2025-01-01,PF,pos,credit,D1Anticipation,6,<=20000,2924.0,247.078,0.0845
2025-01-01,PJ,pos,credit,D0/Nitro,6,<=20000,3100.0,449.19,0.1449
2025-01-01,PJ,pos,credit,D0/Nitro,6,<=20000,5000.0,724.5,0.1449
2025-01-01,PJ,tap,credit,D0/Nitro,6,<=20000,600.0,86.94,0.1449
2025-01-01,PJ,tap,credit,D1Anticipation,6,<=20000,6449.25,544.961625,0.0845
2025-01-01,PF,tap,credit,D1Anticipation,6,<=20000,1961.7,165.76365,0.0845
2025-01-01,PJ,link,credit,D1Anticipation,6,<=20000,14146.12,1979.042188,0.1399
2025-01-01,PJ,pos,credit,D1Anticipation,6,>80000,202473.03,12735.553587,0.0629
2025-01-01,PJ,link,credit,D1Anticipation,6,>80000,99220.5,13880.94795,0.1399
2025-01-01,PF,link,credit,D1Anticipation,6,>80000,87767.6,12278.68724,0.13989999999999997
2025-01-01,PJ,pos,credit,D1Anticipation,6,40001-80000,44112.47,2920.245514,0.06620000000000001
2025-01-01,PJ,tap,credit,D0/Nitro,6,<=20000,12125.55,1756.9921949999998,0.1449
2025-01-01,PJ,tap,credit,D1Anticipation,6,<=20000,2500.0,211.25,0.0845
2025-01-01,PJ,pos,credit,D1Anticipation,6,<=20000,4073.32,344.19554000000005,0.0845
2025-01-01,PJ,link,credit,D0/Nitro,6,<=20000,398.0,38.4866,0.09670000000000001
2025-01-01,PF,tap,credit,D1Anticipation,6,>80000,455219.32,28633.295228,0.0629
2025-01-01,PF,link,credit,D0/Nitro,6,40001-80000,60627.34,5862.663777999999,0.0967
2025-01-01,PF,link,credit,D1Anticipation,7,<=20000,18648.61,2795.4266390000003,0.1499
2025-01-01,PJ,tap,credit,D1Anticipation,7,<=20000,1608.16,147.307456,0.0916
2025-01-01,PJ,link,credit,D1Anticipation,7,<=20000,1661.0,248.9839,0.1499
2025-01-01,PJ,tap,credit,D1Anticipation,7,<=20000,15000.05,1374.00458,0.0916
2025-01-01,PF,tap,credit,D1Anticipation,7,>80000,167590.13,11412.887853,0.0681
2025-01-01,PJ,link,credit,D0/Nitro,7,<=20000,3068.22,386.288898,0.1259
2025-01-01,PJ,pos,credit,D1Anticipation,7,<=20000,14450.0,1323.62,0.09159999999999999
2025-01-01,PJ,pos,credit,D1Anticipation,7,<=20000,1238.1,113.40996,0.0916
2025-01-01,PJ,pos,credit,D0/Nitro,7,<=20000,3411.37,528.421213,0.15489999999999998
2025-01-01,PJ,tap,credit,D1Anticipation,7,40001-80000,59648.89,4276.825413,0.0717
2025-01-01,PJ,tap,credit,D0/Nitro,7,<=20000,9974.98,1545.124402,0.1549
2025-01-01,PF,tap,credit,D0/Nitro,7,>80000,94407.99,14623.797651000004,0.15490000000000004
2025-01-01,PJ,tap,credit,D1Anticipation,7,<=20000,2371.67,217.244972,0.09159999999999999
2025-01-01,PJ,link,credit,D1Anticipation,7,<=20000,14625.43,2192.3519570000003,0.1499
2025-01-01,PF,pos,credit,D1Anticipation,7,<=20000,1545.0,141.522,0.0916
2025-01-01,PJ,pos,credit,D1Anticipation,7,<=20000,1950.0,178.62,0.0916
2025-01-01,PF,link,credit,D0/Nitro,7,20001-40000,28141.46,3543.009814,0.1259
2025-01-01,PJ,pos,credit,D1Anticipation,7,40001-80000,67425.67,4834.420539,0.0717
2025-01-01,PJ,link,credit,D1Anticipation,7,<=20000,99.9,14.97501,0.14989999999999998
2025-01-01,PJ,tap,credit,D1Anticipation,8,40001-80000,77850.82,6010.083304000001,0.0772
2025-01-01,PF,tap,credit,D0/Nitro,8,>80000,126874.96,20414.181064,0.1609
2025-01-01,PJ,tap,credit,D0/Nitro,8,<=20000,1700.82,273.661938,0.16090000000000002
2025-01-01,PJ,pos,credit,D1Anticipation,8,>80000,131696.2,9600.652980000004,0.07290000000000002
2025-01-01,PF,tap,credit,D1Anticipation,8,>80000,298714.19,21776.264451000003,0.0729
2025-01-01,PJ,link,credit,D1Anticipation,8,20001-40000,31442.75,4901.924725000001,0.1559
2025-01-01,PF,link,credit,D1Anticipation,8,20001-40000,30939.26,4823.430634,0.1559
2025-01-01,PJ,tap,credit,D1Anticipation,8,<=20000,8787.78,866.475108,0.0986
2025-01-01,PF,link,credit,D0/Nitro,8,20001-40000,30118.33,4041.8798860000006,0.1342
2025-01-01,PJ,link,credit,D0/Nitro,8,<=20000,4739.58,636.051636,0.1342
2025-01-01,PJ,pos,credit,D1Anticipation,8,20001-40000,27995.93,2273.269516,0.0812
2025-01-01,PJ,pos,credit,D0/Nitro,8,<=20000,8727.05,1404.1823449999995,0.16089999999999996
2025-01-01,PJ,tap,credit,D1Anticipation,8,<=20000,14377.0,1417.5721999999998,0.0986
2025-01-01,PJ,link,credit,D1Anticipation,8,<=20000,2442.83,380.837197,0.1559
2025-01-01,PJ,pos,credit,D1Anticipation,8,<=20000,13394.39,1320.6868539999998,0.0986
2025-01-01,PJ,pos,credit,D1Anticipation,8,<=20000,4300.0,423.98,0.09860000000000001
2025-01-01,PJ,tap,credit,D1Anticipation,9,<=20000,13923.99,1468.980945,0.1055
2025-01-01,PF,link,credit,D0/Nitro,9,<=20000,10416.87,1484.403975,0.1425
2025-01-01,PF,tap,credit,D1Anticipation,9,>80000,96092.52,7504.825812000001,0.0781
2025-01-01,PJ,link,credit,D1Anticipation,9,<=20000,8859.14,1434.2947659999998,0.1619
2025-01-01,PJ,pos,credit,D1Anticipation,9,<=20000,565.0,59.6075,0.1055
2025-01-01,PJ,pos,credit,D0/Nitro,9,<=20000,618.18,103.174242,0.16690000000000002
2025-01-01,PJ,link,credit,D0/Nitro,9,<=20000,1257.96,179.2593,0.1425
2025-01-01,PJ,pos,credit,D1Anticipation,9,20001-40000,32874.69,2860.09803,0.087
2025-01-01,PF,tap,credit,D0/Nitro,9,20001-40000,33148.46,5532.477973999999,0.1669
2025-01-01,PF,link,credit,D1Anticipation,9,<=20000,1133.24,183.471556,0.1619
2025-01-01,PJ,pos,credit,D1Anticipation,9,<=20000,9639.0,1016.9145,0.1055
2025-01-01,PJ,link,credit,D1Anticipation,9,<=20000,1282.8,207.68532,0.1619
2025-01-01,PJ,tap,credit,D1Anticipation,9,<=20000,3275.47,345.562085,0.10550000000000001
2025-01-01,PF,tap,credit,D1Anticipation,10,>80000,1376550.34,114116.023186,0.0829
2025-01-01,PJ,tap,credit,D1Anticipation,10,<=20000,7800.0,875.9399999999999,0.1123
2025-01-01,PF,pos,credit,D0/Nitro,10,<=20000,2022.1,351.64319,0.1739
2025-01-01,PJ,pos,credit,D1Anticipation,10,40001-80000,48003.9,4219.542810000001,0.08790000000000002
2025-01-01,PJ,link,credit,D1Anticipation,10,<=20000,6309.0,1065.5901,0.1689
2025-01-01,PJ,pos,credit,D1Anticipation,10,<=20000,18034.76,2025.303548,0.11230000000000001
2025-01-01,PF,pos,credit,D1Anticipation,10,<=20000,1068.14,119.952122,0.1123
2025-01-01,PJ,link,credit,D1Anticipation,10,<=20000,4038.79,682.151631,0.1689
2025-01-01,PF,link,credit,D0/Nitro,10,>80000,98924.35,14898.007110000002,0.1506
2025-01-01,PF,link,credit,D1Anticipation,10,<=20000,3000.0,506.7,0.1689
2025-01-01,PJ,tap,credit,D1Anticipation,10,<=20000,13234.2,1486.20066,0.1123
2025-01-01,PJ,tap,credit,D0/Nitro,10,40001-80000,47333.16,8231.236524,0.1739
2025-01-01,PJ,pos,credit,D1Anticipation,10,>80000,181962.95,15084.728555000002,0.0829
2025-01-01,PJ,pos,credit,D1Anticipation,10,>80000,848925.7,70375.94052999999,0.0829
2025-01-01,PF,tap,credit,D0/Nitro,10,>80000,467063.3,81222.30787,0.17390000000000003
2025-01-01,PJ,tap,credit,D1Anticipation,10,>80000,529576.98,43901.931642,0.08290000000000002
2025-01-01,PJ,link,credit,D1Anticipation,10,>80000,141522.07,23903.077623,0.1689
2025-01-01,PJ,pos,credit,D0/Nitro,10,20001-40000,23947.14,4164.407646,0.1739
2025-01-01,PF,link,credit,D1Anticipation,10,>80000,94600.31,15977.992359,0.1689
2025-01-01,PJ,link,credit,D1Anticipation,10,<=20000,13119.84,2215.940976,0.1689
2025-01-01,PJ,pos,credit,D0/Nitro,10,<=20000,3300.0,573.87,0.1739
2025-01-01,PJ,tap,credit,D1Anticipation,10,40001-80000,72252.67,6351.009693,0.0879
2025-01-01,PJ,link,credit,D0/Nitro,10,40001-80000,54018.42,8135.174052,0.1506
2025-01-01,PJ,tap,credit,D0/Nitro,11,<=20000,612.67,112.670013,0.1839
2025-01-01,PJ,pos,credit,D1Anticipation,11,<=20000,9198.5,1095.54135,0.1191
2025-01-01,PJ,tap,credit,D1Anticipation,11,<=20000,9680.0,1152.888,0.1191
2025-01-01,PF,link,credit,D0/Nitro,11,<=20000,4086.16,648.473592,0.1587
2025-01-01,PF,link,credit,D1Anticipation,11,<=20000,1426.37,255.177593,0.1789
2025-01-01,PJ,tap,credit,D1Anticipation,11,20001-40000,39884.06,3928.57991,0.0985
2025-01-01,PJ,pos,credit,D0/Nitro,11,<=20000,1100.0,202.29,0.18389999999999998
2025-01-01,PF,tap,credit,D0/Nitro,11,<=20000,13138.6,2416.18854,0.1839
2025-01-01,PF,tap,credit,D1Anticipation,11,40001-80000,46678.65,4350.450180000001,0.09320000000000002
2025-01-01,PJ,link,credit,D0/Nitro,12,<=20000,1077.46,179.504836,0.1666
2025-01-01,PF,tap,credit,D0/Nitro,12,>80000,374895.43,70442.851297,0.1879
2025-01-01,PJ,tap,credit,D1Anticipation,12,>80000,647674.25,60104.1704,0.09280000000000001
2025-01-01,PJ,pos,credit,D1Anticipation,12,>80000,245241.77,22758.436256,0.09280000000000001
2025-01-01,PJ,link,credit,D0/Nitro,12,<=20000,18654.02,3107.759732,0.1666
2025-01-01,PJ,pos,credit,D0/Nitro,12,20001-40000,28197.76,5298.359104,0.1879
2025-01-01,PJ,pos,credit,D1Anticipation,12,20001-40000,25559.71,2660.765811,0.10410000000000001
2025-01-01,PF,tap,credit,D1Anticipation,12,<=20000,16585.59,2084.8086630000003,0.1257
2025-01-01,PJ,pos,credit,D1Anticipation,12,20001-40000,32207.62,3352.813242,0.10410000000000001
2025-01-01,PF,pos,credit,D1Anticipation,12,<=20000,14254.21,1791.754197,0.1257
2025-01-01,PJ,link,credit,D1Anticipation,12,>80000,90807.44,16608.680776,0.1829
2025-01-01,PJ,tap,credit,D1Anticipation,12,20001-40000,25825.01,2688.383541,0.10410000000000001
2025-01-01,PJ,pos,credit,D1Anticipation,12,>80000,747121.05,69332.83344,0.0928
2025-01-01,PF,pos,credit,D0/Nitro,12,<=20000,3059.61,574.9007190000001,0.1879
2025-01-01,PF,tap,credit,D1Anticipation,12,>80000,1088520.11,101014.666208,0.0928
2025-01-01,PJ,link,credit,D1Anticipation,12,<=20000,2334.42,426.96541800000006,0.1829
2025-01-01,PJ,link,credit,D0/Nitro,12,<=20000,1018.8,169.73208,0.1666
2025-01-01,PJ,tap,credit,D1Anticipation,12,40001-80000,70546.54,6948.83419,0.0985
2025-01-01,PJ,link,credit,D1Anticipation,12,20001-40000,23593.98,4315.338942,0.1829
